# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	379685
#@/user_id	hotoo.rmbp
ban gong zhuo 	辦公桌	c=1 d=1 t=43588
ban hao 	辦好	c=8 d=1.35261e-158 t=379685
ban hu 	半壺	c=3 d=9.37329e-109 t=379685
ban ji 	扳機	c=2 d=3.73727e-233 t=379685
ban jia 	半價	c=1 d=0 t=379685
ban jia 	搬家	c=2 d=3.79295e-272 t=379685
ban jiao 	半角	c=15 d=0.129814 t=379685
ban jin 	搬進	c=1 d=6.87836e-216 t=379685
ban jing 	半徑	c=3 d=1.0124e-86 t=379685
ban jiu 	辦酒	c=6 d=3.71153e-252 t=379685
ban ka 	辦卡	c=6 d=7.7817e-109 t=379685
ban kuai 	板塊	c=2 d=1 t=70459
ban lan gen 	板藍根	c=2 d=8.73659e-59 t=379685
ban li 	辦理	c=85 d=1.88016e-16 t=379685
ban lu 	半路	c=5 d=5.1382e-20 t=379685
ban lu shang 	半路上	c=1 d=7.10687e-130 t=379685
ban lv 	伴侶	c=7 d=0 t=379685
ban ma 	斑馬	c=2 d=1 t=93996
ban ma xian 	斑馬線	c=1 d=1 t=379305
ban mian 	版面	c=1 d=8.61916e-135 t=379685
ban miao 	半秒	c=1 d=1 t=97478
ban ni 	伴尼	c=2 d=1.74082 t=14689
ban nian 	半年	c=25 d=3.869e-94 t=379685
ban nian qian 	半年前	c=1 d=6.30303e-159 t=379685
ban niang 	伴娘	c=3 d=2.28922e-214 t=379685
ban qi 	搬起	c=1 d=1 t=29318
ban quan 	半圈	c=1 d=1.52892e-83 t=379685
ban quan 	版權	c=5 d=4.33049e-08 t=379685
ban shang zhi yun 	坂上之雲	c=2 d=2.21728e-279 t=379685
ban shen 	半身	c=1 d=1 t=49883
ban shi 	辦事	c=2 d=1.60645e-253 t=379685
ban shi chu 	辦事處	c=1 d=1 t=70214
ban shou 	半熟	c=1 d=5.38097e-210 t=379685
ban shui 	辦稅	c=1 d=1.2368e-206 t=379685
ban si 	半死	c=1 d=2.3668e-165 t=379685
ban sui 	伴隨	c=1 d=3.67105e-35 t=379685
ban tian 	半天	c=32 d=6.51934e-12 t=379685
ban tian jia 	半天假	c=1 d=1 t=77774
ban tou ming 	半透明	c=2 d=6.31156e-28 t=379685
ban xiao shi 	半小時	c=1 d=1 t=76954
ban ye 	半夜	c=4 d=1.85395e-86 t=379685
ban you 	伴有	c=1 d=4.36262e-183 t=379685
ban you 	拌有	c=1 d=3.26714e-46 t=379685
ban zhang 	班長	c=1 d=0 t=379685
ban zou 	搬走	c=1 d=8.46837e-192 t=379685
ban zui 	拌嘴	c=1 d=4.94782e-17 t=379685
bang 	幫	c=138 d=0.0157395 t=379685
bang 	棒	c=37 d=5.38127e-05 t=379685
bang 	榜	c=29 d=1 t=90270
bang 	浜	c=0 d=0.1 t=63415
bang 	磅	c=1 d=1 t=95171
bang 	綁	c=28 d=1.06549e-11 t=379685
bang 	邦	c=5 d=1.46988e-149 t=379685
bang bang 	棒棒	c=5 d=8.38817e-12 t=379685
bang bing 	棒冰	c=4 d=0.00132678 t=379685
bang da tui 	榜大腿	c=1 d=1 t=48709
bang dan 	榜單	c=1 d=1 t=65993
bang ding 	綁定	c=71 d=1.28626 t=379685
bang ding de 	綁定的	c=1 d=0 t=379685
bang ke 	蚌殼	c=2 d=1 t=93891
bang mang 	幫忙	c=86 d=4.39469e-07 t=379685
bang ni 	幫你	c=2 d=1.11185e-12 t=379685
bang qiu 	棒球	c=6 d=7.55962e-42 t=379685
